Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",0.002177019,0.001756828,0.004882917,0.000950159,0.000646605,0.002692901,0.947669864,0.000502226,0.003254018,0.00053282,0.001210261,0.001908564,0.003178607,0.003263754,0.002811194,0.000175279,0.002123749,0.00250211,0.001685367,0.001092947,0.003721424,0.000652593,0.009755981,0.000852895,"benign, cyst, na"
"atypical, fibroadenoma, na",0.003737923,0.003016458,0.910207808,0.001631414,0.001110216,0.002227583,0.005640328,0.000862319,0.005325432,0.000914848,0.001972526,0.003195562,0.00217464,0.006318621,0.004826796,0.000300952,0.003646458,0.004296101,0.00289376,0.001876581,0.007844801,0.001120496,0.023393989,0.001464413,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",1.66E-06,4.74E-05,4.37E-05,9.20E-07,4.53E-07,4.40E-07,7.40E-07,3.52E-07,1.26E-06,6.25E-07,8.24E-07,5.94E-07,2.80E-07,0.169216543,7.85E-05,1.23E-07,0.830349743,8.77E-05,4.27E-05,1.16E-06,7.32E-05,4.57E-07,4.99E-05,5.98E-07,"breast cancer, invasive, ductal"
"benign, cyst, na",0.001736674,0.001417393,0.004519131,0.000751748,0.000511582,0.004264689,0.95876801,0.000397352,0.002883366,0.000421558,0.000957536,0.001649747,0.002955153,0.002089825,0.002360228,0.000138677,0.001213989,0.001771297,0.001333431,0.00086472,0.002797457,0.000516319,0.005005247,0.000674795,"benign, cyst, na"
"benign, cyst, na",0.002177019,0.001756828,0.004882917,0.000950159,0.000646605,0.002692901,0.947669864,0.000502226,0.003254018,0.00053282,0.001210261,0.001908564,0.003178607,0.003263754,0.002811194,0.000175279,0.002123749,0.00250211,0.001685367,0.001092947,0.003721424,0.000652593,0.009755981,0.000852895,"benign, cyst, na"
"breast cancer, invasive, ductal",0.000309571,0.000197628,0.000350197,0.000147223,0.000100189,0.000264756,0.00042953,7.78E-05,0.000398735,8.26E-05,0.000178006,0.000280639,0.000330473,0.007887949,0.000244573,2.72E-05,0.950452149,0.005329011,0.008625781,0.000370917,0.001016404,0.000101117,0.022665443,0.000132153,"breast cancer, invasive, ductal"
"breast cancer, na, na",0.001834117,0.00148011,0.003973956,0.000800499,0.000544759,0.001817225,0.002767585,0.000423121,0.002729438,0.000448896,0.000967875,0.001871272,0.002316725,0.00274968,0.002368403,0.000147671,0.001789237,0.002108003,0.001419905,0.000920797,0.004282589,0.000549803,0.960969567,0.000718555,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",0.003182667,0.001618864,0.001255662,0.937894881,0.027703423,0.000337274,0.000311528,0.000142689,0.000924509,0.000252628,0.000362069,0.000629266,0.012642474,0.002370306,0.00213606,4.98E-05,0.000651591,0.000915035,0.000601617,0.000310521,0.000836122,0.00018541,0.004443482,0.000242319,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",4.13E-05,4.07E-05,0.999104917,6.19E-05,1.22E-05,2.38E-05,3.43E-05,9.45E-06,6.29E-05,1.00E-05,2.16E-05,5.23E-05,1.54E-05,9.74E-05,5.10E-05,3.30E-06,2.98E-05,3.72E-05,3.16E-05,2.06E-05,5.75E-05,1.23E-05,0.000152481,1.61E-05,"atypical, fibroadenoma, na"
"benign, radial scar, na",0.022074692,0.020009557,0.008585374,0.00983921,0.001654713,0.437871844,0.020550655,0.001285236,0.008244368,0.001363528,0.180919573,0.009550824,0.214015514,0.015395496,0.009595615,0.000448552,0.00655352,0.006236088,0.006518788,0.003011786,0.006338051,0.001670035,0.006084335,0.002182623,"benign, apocrine metaplasia, na"
"benign, cyst, na",0.001127156,0.000916021,0.002872103,0.001108154,0.000330213,0.420657128,0.549660504,0.000256481,0.001721722,0.000272105,0.000618065,0.001114826,0.002349323,0.001816694,0.001523467,8.95E-05,0.000768928,0.001143327,0.005778458,0.000558155,0.001132627,0.000333271,0.003416238,0.000435563,"benign, cyst, na"
"benign, apocrine metaplasia, na",0.021481333,0.010475952,0.014296572,0.010453149,0.00221333,0.259367019,0.003285533,0.001719121,0.011707987,0.001823844,0.004362211,0.008311158,0.55612886,0.021560742,0.011723361,0.00059998,0.007772144,0.007274704,0.005524465,0.003741159,0.010627097,0.002233824,0.020397119,0.002919459,"benign, usual ductal hyperplasia, na"
"breast cancer, in situ, ductal",0.001686179,0.000905503,0.22347419,0.00071117,0.00045537,0.000794216,0.001926804,0.000334982,0.00223358,0.000355388,0.00076626,0.001308876,0.000867076,0.714355707,0.006989032,0.00011691,0.007857988,0.002146601,0.003455034,0.001417923,0.00619372,0.000435275,0.020643478,0.000568876,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",0.000906603,0.000387333,0.0012062,0.000571118,0.00028609,0.000893978,0.001278143,0.00022221,0.00208003,0.000235746,0.000508298,0.001325089,0.001001065,0.941831529,0.005875249,7.76E-05,0.009455916,0.003067601,0.002981901,0.000586156,0.003593196,0.000288739,0.020962812,0.000377363,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",0.000429421,9.25E-05,0.000113344,7.16E-05,3.41E-05,7.34E-05,7.21E-05,2.65E-05,0.000178478,2.81E-05,6.72E-05,0.003347377,0.014524051,0.947325587,0.00072656,9.24E-06,0.029218303,0.000191215,0.000414161,0.00012063,0.000743228,3.44E-05,0.002114057,4.49E-05,"breast cancer, in situ, ductal"
"benign, sclerosing adenosis, na",0.044900782,0.011667727,0.00581498,0.00526307,0.001006247,0.002985565,0.001252304,0.000781565,0.005671383,0.000829175,0.003290076,0.59551698,0.279278696,0.008866833,0.0076237,0.000272769,0.004407633,0.003307301,0.003658524,0.002413895,0.003838257,0.001015565,0.005009641,0.001327275,"benign, sclerosing adenosis, na"
"atypical, fibroadenoma, na",0.00327951,0.002676584,0.926485062,0.00141959,0.000966065,0.002100721,0.004907983,0.000750354,0.005189876,0.000796063,0.001716412,0.003037949,0.002223581,0.005193132,0.004457021,0.000261877,0.002292479,0.003344891,0.002518032,0.001632924,0.006485724,0.00097501,0.016015073,0.001274272,"atypical, fibroadenoma, na"
"atypical, atypical lobular hyperplasia, na",0.016184002,0.413601995,0.011775183,0.025262369,0.002783965,0.008049825,0.011556426,0.00216234,0.013857981,0.002294062,0.005710364,0.264995217,0.005250101,0.020093827,0.033655077,0.000754665,0.004830464,0.027384207,0.007248063,0.005067166,0.011213644,0.002809743,0.099787124,0.003672145,"atypical, atypical lobular hyperplasia, na"
"breast cancer, invasive, ductal",3.06E-05,1.75E-05,2.29E-05,1.56E-05,1.06E-05,2.72E-05,4.01E-05,8.25E-06,4.08E-05,8.75E-06,1.89E-05,2.60E-05,3.32E-05,0.01710551,0.000111534,2.88E-06,0.980056167,0.000644882,0.001023162,2.64E-05,0.000245589,1.07E-05,0.000459105,1.40E-05,"breast cancer, invasive, ductal"
"benign, pseudoangiomatous stromal hyperplasia, na",0.024965506,0.009518576,0.007405998,0.01592646,0.001051503,0.002610517,0.001835629,0.000816715,0.100105718,0.638875186,0.003438046,0.004215808,0.148967311,0.010059379,0.007812113,0.000285037,0.002548238,0.003456046,0.002624548,0.001777339,0.004094547,0.001061239,0.005161396,0.001386968,"benign, pseudoangiomatous stromal hyperplasia, na"
"benign, apocrine metaplasia, na",0.031431865,0.008860112,0.013474127,0.003566897,0.001590361,0.215163842,0.001168644,0.001235253,0.01612119,0.0013105,0.003134412,0.01229913,0.583763659,0.019835446,0.018966135,0.000431108,0.014121046,0.018745888,0.017020974,0.002894657,0.003909201,0.001605087,0.007252512,0.002097741,"benign, usual ductal hyperplasia, na"
"benign, cyst, na",0.002135436,0.001723271,0.004789649,0.00093201,0.000634255,0.002641464,0.948669493,0.000492633,0.003191863,0.000522643,0.001187144,0.001872109,0.003117893,0.003201413,0.002757498,0.000171931,0.002083183,0.002454317,0.001653175,0.001072071,0.003650341,0.000640127,0.009569634,0.000836604,"benign, cyst, na"
"benign, sclerosing adenosis, na",0.016194601,0.012728701,0.039980397,0.006599587,0.004594195,0.016609235,0.018540686,0.003568368,0.025779948,0.003785741,0.008162528,0.626711845,0.020741995,0.018767389,0.0211957,0.001245374,0.011151982,0.015906887,0.016889812,0.007765498,0.027192554,0.004636734,0.065190278,0.0060599,"benign, sclerosing adenosis, na"
"atypical, atypical lobular hyperplasia, na",0.018678932,0.668196857,0.003918204,0.008087642,0.00083043,0.129921496,0.033331797,0.000645005,0.007489546,0.001141966,0.001990546,0.00265345,0.079516463,0.011133507,0.007743575,0.000225109,0.001005052,0.004933044,0.00137062,0.001511486,0.002645323,0.000838119,0.011096375,0.001095365,"atypical, atypical lobular hyperplasia, na"
