Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",4.54E-11,2.90E-07,6.53E-08,1.05E-06,3.18E-07,8.31E-07,0.999998033,3.17E-06,1.58E-06,3.03E-07,6.96E-07,6.58E-08,1.55E-07,5.21E-07,8.31E-08,2.23E-08,1.30E-06,1.56E-06,2.16E-07,7.66E-07,4.50E-08,2.34E-08,9.71E-10,4.97E-07,"benign, cyst, na"
"atypical, fibroadenoma, na",5.73E-06,2.19E-06,0.999990106,2.17E-06,8.39E-06,8.31E-06,5.62E-06,0.000736694,1.66E-05,1.16E-07,6.23E-06,5.55E-05,8.11E-06,1.63E-07,2.24E-06,1.10E-06,0.00020985,0.00027129,2.13E-06,4.59E-06,1.50E-05,2.29E-06,2.48E-05,2.17E-05,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",4.42E-12,5.86E-10,5.48E-11,2.89E-09,1.64E-07,1.07E-13,1.34E-08,4.41E-09,2.30E-10,1.11E-10,1.24E-08,3.09E-11,5.95E-13,8.47E-07,1.70E-11,6.18E-08,0.999789476,5.98E-09,2.30E-10,1.87E-08,1.01E-09,8.66E-10,6.67E-12,5.59E-08,"breast cancer, invasive, ductal"
"benign, cyst, na",9.77E-11,5.17E-07,9.76E-08,7.44E-07,5.80E-07,1.13E-05,0.999988437,3.21E-06,1.84E-06,4.66E-07,1.03E-06,9.40E-08,2.47E-07,5.35E-07,1.40E-07,5.05E-08,1.24E-06,1.83E-06,3.07E-07,9.50E-07,2.11E-08,2.71E-08,2.07E-09,5.06E-07,"benign, cyst, na"
"benign, cyst, na",4.54E-11,2.90E-07,6.53E-08,1.05E-06,3.18E-07,8.31E-07,0.999998033,3.17E-06,1.58E-06,3.03E-07,6.96E-07,6.58E-08,1.55E-07,5.21E-07,8.31E-08,2.23E-08,1.30E-06,1.56E-06,2.16E-07,7.66E-07,4.50E-08,2.34E-08,9.71E-10,4.97E-07,"benign, cyst, na"
"breast cancer, invasive, ductal",5.48E-10,7.18E-11,1.13E-10,1.60E-09,1.07E-06,5.48E-10,9.08E-09,5.05E-07,3.60E-09,6.64E-09,3.32E-09,1.19E-08,8.03E-10,1.20E-08,1.74E-13,1.70E-07,0.999999046,1.01E-06,2.58E-06,1.72E-06,3.62E-08,1.66E-08,2.20E-09,9.54E-07,"breast cancer, invasive, ductal"
"breast cancer, na, na",1.14E-07,1.47E-07,1.83E-07,4.02E-08,2.92E-07,1.60E-06,9.82E-08,1.69E-05,2.99E-08,4.40E-07,3.98E-08,4.27E-07,3.53E-07,1.60E-07,1.01E-07,2.49E-06,4.33E-06,3.82E-06,3.05E-07,2.14E-06,1.40E-08,1.69E-06,0.999999762,6.00E-07,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",4.91E-06,8.98E-07,6.84E-08,0.996496797,0.0001813,2.14E-09,9.21E-07,1.66E-08,2.95E-08,2.31E-06,6.01E-05,2.95E-10,1.90E-08,5.98E-08,0.000596978,1.52E-06,2.10E-09,2.88E-08,6.76E-09,4.01E-06,2.42E-07,1.01E-05,0.001704658,1.01E-07,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",1.46E-09,2.33E-07,1,1.03E-06,2.41E-08,1.87E-11,5.50E-09,1.44E-07,7.34E-09,1.41E-10,6.57E-08,9.97E-11,8.80E-13,4.20E-10,2.98E-08,8.51E-09,1.68E-06,8.49E-07,4.93E-10,2.20E-09,7.61E-10,1.31E-09,1.02E-09,2.00E-08,"atypical, fibroadenoma, na"
"benign, radial scar, na",5.28E-08,3.09E-05,4.98E-06,2.20E-06,4.13E-06,0.999985814,1.90E-07,3.94E-06,1.54E-10,5.19E-08,0.000225361,1.26E-07,1.69E-05,5.93E-06,6.29E-07,9.48E-07,5.12E-08,6.16E-06,1.46E-07,9.99E-06,1.12E-07,6.24E-09,4.19E-07,2.41E-05,"benign, apocrine metaplasia, na"
