gold,predicted,
"atypical, atypical ductal hyperplasia, na","atypical, atypical ductal hyperplasia, na",6
"atypical, atypical ductal hyperplasia, na","atypical, flat epithelial atypia, na",1
"atypical, atypical ductal hyperplasia, na","breast cancer, in situ, ductal",1
"atypical, atypical lobular hyperplasia, na","atypical, atypical lobular hyperplasia, na",14
"atypical, atypical lobular hyperplasia, na","atypical, phyllodes, na",1
"atypical, fibroadenoma, na","atypical, fibroadenoma, na",29
"atypical, flat epithelial atypia, na","atypical, atypical ductal hyperplasia, na",2
"atypical, flat epithelial atypia, na","atypical, flat epithelial atypia, na",2
"atypical, phyllodes, na","atypical, phyllodes, na",1
"benign, apocrine metaplasia, na","benign, apocrine metaplasia, na",9
"benign, apocrine metaplasia, na","benign, papilloma, na",1
"benign, apocrine metaplasia, na","benign, usual ductal hyperplasia, na",1
"benign, cyst, na","benign, apocrine metaplasia, na",1
"benign, cyst, na","benign, cyst, na",22
"benign, cyst, na","benign, usual ductal hyperplasia, na",2
"benign, mastitis, na","benign, mastitis, na",1
"benign, papilloma, na","benign, papilloma, na",7
"benign, pseudoangiomatous stromal hyperplasia, na","benign, pseudoangiomatous stromal hyperplasia, na",8
"benign, radial scar, na","benign, radial scar, na",3
"benign, sclerosing adenosis, na","atypical, atypical ductal hyperplasia, na",1
"benign, sclerosing adenosis, na","benign, radial scar, na",1
"benign, sclerosing adenosis, na","benign, sclerosing adenosis, na",2
"benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na",2
"benign, usual ductal hyperplasia, na","benign, papilloma, na",1
"benign, usual ductal hyperplasia, na","benign, usual ductal hyperplasia, na",20
"breast cancer, in situ, ductal","breast cancer, in situ, ductal",46
"breast cancer, in situ, ductal","breast cancer, in situ, lobular",1
"breast cancer, in situ, ductal","breast cancer, na, na",1
"breast cancer, in situ, lobular","atypical, atypical lobular hyperplasia, na",2
"breast cancer, in situ, lobular","breast cancer, in situ, lobular",3
"breast cancer, invasive, ductal","breast cancer, in situ, ductal",1
"breast cancer, invasive, ductal","breast cancer, invasive, ductal",49
"breast cancer, invasive, lobular","breast cancer, invasive, lobular",6
"breast cancer, invasive, na","breast cancer, invasive, na",1
"breast cancer, metastasis, na","breast cancer, invasive, ductal",1
"breast cancer, na, ductal","breast cancer, na, ductal",4
"breast cancer, na, lobular","breast cancer, na, na",1
"breast cancer, na, na","atypical, fibroadenoma, na",1
"breast cancer, na, na","breast cancer, na, na",28
